,MTUM,VLUE,QUAL,SIZE,USMV,IVLU,IMTM,IQLT,EMGF,ACWV,SPTL,AGG,EMB,TIP,HYG,SCHH,DBC,GLD,,,,,,,,,,,,,,,,,,
12/29/1999,0.013054808,0.015972766,0.013725898,0.019153104,0.017875131,0.031856282,0.021735916,0.027568957,0.061130696,0.053754395,0.056932543,0.149666133,0.043798658,0.123371514,0.164405993,0.058948125,0.061932459,0.065116621,,,,,,,,,,,,,,,,,,
12/30/1999,0.01305952,0.015963911,0.01423323,0.021817532,0.019332028,0.031146823,0.019171158,0.028553666,0.056036097,0.054645752,0.064575212,0.154207431,0.041654346,0.122573742,0.164266106,0.050477934,0.063233207,0.065052304,,,,,,,,,,,,,,,,,,
1/4/2000,0.013023374,0.016019151,0.014203521,0.021882948,0.019335944,0.031356598,0.019415032,0.028841592,0.056852004,0.054794384,0.064592211,0.154103769,0.041628325,0.122409205,0.164072272,0.050547846,0.062116565,0.064805257,,,,,,,,,,,,,,,,,,
1/5/2000,0.012433952,0.015584197,0.013712374,0.021590629,0.018890904,0.031098872,0.019037747,0.028382672,0.057993987,0.054193421,0.06562253,0.155895586,0.04167948,0.12345081,0.164305833,0.050501826,0.062284022,0.063341159,,,,,,,,,,,,,,,,,,
1/6/2000,0.012397903,0.015702213,0.013821447,0.021937863,0.0191538,0.03056477,0.018063708,0.027755146,0.057061003,0.054061242,0.065410779,0.156077328,0.042034655,0.124060634,0.165369304,0.050918005,0.062151842,0.06345836,,,,,,,,,,,,,,,,,,
1/7/2000,0.012073395,0.015712525,0.013621584,0.02222375,0.019165614,0.030238398,0.017536899,0.027717973,0.0561662,0.054092225,0.065983733,0.156771767,0.042307337,0.124024873,0.164981837,0.051944748,0.062103041,0.063334102,,,,,,,,,,,,,,,,,,
1/10/2000,0.012524234,0.016027871,0.014086899,0.022585637,0.019602558,0.030403534,0.017611314,0.028021377,0.055804824,0.054658216,0.065862654,0.156125457,0.042132614,0.123170667,0.163600596,0.052728645,0.061543699,0.063509204,,,,,,,,,,,,,,,,,,
1/11/2000,0.012825415,0.016135548,0.014110619,0.022594496,0.019716498,0.030546354,0.017822812,0.028201636,0.05680706,0.054919339,0.065424654,0.155314663,0.041937136,0.12264192,0.162738123,0.053146213,0.061953684,0.063163829,,,,,,,,,,,,,,,,,,
1/12/2000,0.012552686,0.016076871,0.013987784,0.022474936,0.019508274,0.030729766,0.018235091,0.028275279,0.055822063,0.054794219,0.065023729,0.155019867,0.041641283,0.122889048,0.163126713,0.053079735,0.063279252,0.063483403,,,,,,,,,,,,,,,,,,
1/13/2000,0.01239234,0.016167232,0.013884712,0.022409187,0.019469246,0.03043917,0.018131355,0.028175395,0.056163949,0.05465267,0.064902023,0.154793648,0.041440117,0.12313161,0.163227738,0.052887259,0.06426094,0.063471408,,,,,,,,,,,,,,,,,,
